record_id,scenario,expected_annual_loss_nzd,events_exposed,OBJECTID,asset_type,asset_group,asset_id,VALIDATIONSTATE,GlobalID,description,SITE,site_description,local_board,STREETNAME,STREETNUMBER,city,replacement_value_nzd,criticality_score,priority_score,risk_band
park-1361,slr_1m_mitigated,0.0,0,1361,Playground - Public Access,Playground Location,22792-L100-230-EXW-001,3,bd528388-31f1-44c5-9730-f70beaf9f03c,PS_Playground,22792,Jutland Road Recreation Reserve,Franklin,Jutland Road,1,Auckland,300000.0,2,0.0,No modelled exposure
park-1362,slr_1m_mitigated,0.0,0,1362,Playground - Public Access,Playground Location,22887-L100-230-EXW-001,3,b4b64af5-7bec-4049-aa4f-8b0eadf48e1f,PS_Playground,22887,Proude Reserve,Franklin,Razorback Road,,Auckland,300000.0,2,0.0,No modelled exposure
park-1363,slr_1m_mitigated,0.0,0,1363,Playground - Public Access,Playground Location,10531-L100-230-EXW-001,3,f8bbdd90-f615-4b00-ae5b-53869d439559,PS_Playground - Opp Pukekohe Highschool,10531,Bledisloe Park - Franklin,Franklin,Queen Street,86,Pukekohe,300000.0,2,0.0,No modelled exposure
park-1364,slr_1m_mitigated,0.0,0,1364,Playground - Public Access,Playground Location,10520-L100-230-EXW-001,3,62b63a78-59a5-40b7-826e-40a61f168312,PS_Playground-Snr-Behind Com Building,10520,Hamilton Estate Recreation Reserve,Franklin,Hamilton Drive,,Waiuku,300000.0,2,0.0,No modelled exposure
park-1365,slr_1m_mitigated,0.0,0,1365,Playground - Public Access,Playground Location,11290-L100-230-EXW-001,3,906e58ff-663e-4a95-b818-0e8784aed9a5,PS_Playground (Whole)-,11290,Wellsford War Memorial Park,Rodney,Port Albert Road,15,Auckland,300000.0,2,0.0,No modelled exposure
park-1366,slr_1m_mitigated,0.0,0,1366,Playground - Public Access,Playground Location,22782-L100-230-EXW-001,3,45936ce0-d9f5-4a7e-8b45-b4a53d3ad77e,PS_Playground,22782,Logan Carr Reserve,Howick,Chapel Road,585R,Auckland,300000.0,2,0.0,No modelled exposure
park-1367,slr_1m_mitigated,0.0,0,1367,Playground - Public Access,Playground Location,10532-L100-230-EXW-001,3,38b6e13e-00cf-450f-bbfa-2a945172e983,PS_Playground,10532,Colin Lawrie Fields,Franklin,Reynolds Road,47,Pukekohe,300000.0,2,0.0,No modelled exposure
park-1368,slr_1m_mitigated,0.0,0,1368,Playground - Public Access,Playground Location,24314-L100-230-EXW-001,3,7dbff692-f190-4c0b-b117-9aae01ee8bf1,PS_Playground,24314,Mauku Reserve,Upper Harbour,Mackay Drive,38,Auckland,300000.0,2,0.0,No modelled exposure
park-1369,slr_1m_mitigated,0.0,0,1369,Playground - Public Access,Playground Location,20570-L100-230-EXW-001,3,6520ec2c-f383-4c5e-9e6b-e5a30a7e8bae,PS_Playground,20570,Anderson Park (Grand Vue Road Reserve),Manurewa,Great South Road,58R,Auckland,300000.0,2,0.0,No modelled exposure
park-137,slr_1m_mitigated,0.0,0,137,Public Toilet,Building Level 3,10456-B001-151,3,e9eace06-9072-48ba-b79f-b399ff479a71,Harbour View public toilets W33,10456,Harbour View Reserve,Albert-Eden,Harbour View Road,56-92,Auckland Central,450000.0,3,0.0,No modelled exposure
park-1370,slr_1m_mitigated,0.0,0,1370,Playground - Public Access,Playground Location,23186-L100-230-EXW-001,3,986cda8d-8f14-41a2-a4d5-1f56ffaf6867,PS_Playground,23186,Clare Place Reserve,Mangere-Otahuhu,Clare Place,2R,Auckland,300000.0,2,0.0,No modelled exposure
park-1371,slr_1m_mitigated,0.0,0,1371,Playground - Public Access,Playground Location,10588-L100-230-EXW-001,3,de86f39f-ebd2-4df1-9c17-b09d04d1d9e1,PS_Playground - Equal Access,10588,Lloyd Elsmore Park,Howick,Bells Road,2R,Auckland East,300000.0,2,0.0,No modelled exposure
park-1373,slr_1m_mitigated,0.0,0,1373,Playground - Public Access,Playground Location,21560-L100-230-EXW-001,3,524a5ee9-a869-479f-b806-4fd0cee9e94c,PS_Playground,21560,Bacardi Reserve,Papakura,Walter Stevens Drive,62R,Auckland,300000.0,2,0.0,No modelled exposure
park-1374,slr_1m_mitigated,0.0,0,1374,Playground - Public Access,Playground Location,23016-L100-230-EXW-001,3,e0ae9330-7f39-4710-8ddb-2195a440cd77,PS_Playground,23016,Motatau Park,Otara-Papatoetoe,Motatau Road,74R,Auckland,300000.0,2,0.0,No modelled exposure
park-1375,slr_1m_mitigated,0.0,0,1375,Playground - Public Access,Playground Location,22961-L100-230-EXW-001,3,eba05171-2aae-4d98-a93a-d821d9ab235d,PS_Playground,22961,Matthews Park,Otara-Papatoetoe,Matthews Road,29R,Auckland,300000.0,2,0.0,No modelled exposure
park-1376,slr_1m_mitigated,0.0,0,1376,Playground - Public Access,Playground Location,11096-L100-230-EXW-001,3,36c692dc-2348-4a7b-ba57-a3b03d47c2fb,PS_Playground-Junior,11096,Marlborough Park,Kaipatiki,Chartwell Avenue,13,Auckland,300000.0,2,0.0,No modelled exposure
park-1377,slr_1m_mitigated,0.0,0,1377,Playground - Public Access,Playground Location,22161-L100-230-EXW-001,3,2509ed6c-85cb-4446-a2de-bab8a12a605b,PS_Playground (Whole)-,22161,Lynn Reserve,Kaipatiki,Lynn Road,107,Auckland,300000.0,2,0.0,No modelled exposure
park-1378,slr_1m_mitigated,0.0,0,1378,Playground - Public Access,Playground Location,20949-L100-230-EXW-001,3,fbc61fd2-ca18-400b-8a8a-3cbe54d3ced7,PS_Playground,20949,Olive Grove,Waitakere Ranges,Verdale Circle,50,Auckland,300000.0,2,0.0,No modelled exposure
park-1379,slr_1m_mitigated,0.0,0,1379,Playground - Public Access,Playground Location,20054-L100-230-EXW-001,3,ff84ebe5-2466-4ee9-9620-4e2e72cf03c7,PS_Playground (Whole)-,20054,Greville Reserve,Devonport-Takapuna,Forest Hill Road,R 253,Auckland,300000.0,2,0.0,No modelled exposure
park-138,slr_1m_mitigated,0.0,0,138,Public Toilet,Building Level 3,10462-B001-151,3,84f9bf0c-6858-49da-b40a-afb242e97b03,Toilet (Raymond Reserve),10462,Raymond Reserve,Albert-Eden,Raymond Street,23,Auckland Central,450000.0,3,0.0,No modelled exposure
