record_id,asset_id,description,site_description,asset_type,asset_group,local_board,planning_area,replacement_value_nzd,criticality_score,coastal_current_eal_nzd,coastal_slr_1m_eal_nzd,liquefaction_overlap_matches,liquefaction_vulnerability,liquefaction_mapped,liquefaction_review_flag,liquefaction_unrecognised_category,coastal_current_exposed,coastal_slr_1m_exposed,screening_flag_count,screening_attention
park-797,10362-B004-151,Toilet near playground,Maungakiekie/One Tree Hill,Public Toilet,Building Level 3,Maungakiekie-Tamaki,Maungakiekie-Tamaki,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-798,10659-B001-152,Changing rooms-(Manurewa WMP),Manurewa War Memorial Park,Changing Shed,Building Level 3,Manurewa,Manurewa,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-799,33448-B001-105,Public Toilets - Level 01,Te Manawa,Public Toilet,Building Level 3,Henderson-Massey,Henderson-Massey,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-8,10011-B001-154,Auckland Central Library - Basement Low,Auckland Central Library,Library,Building Level 3,Waitemata,Waitemata,15000000.0,5,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-800,10940-B001-160,Takapuna Library - Basement,Takapuna Library/War Memorial Hall,Library,Building Level 3,Devonport-Takapuna,Devonport-Takapuna,15000000.0,5,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-801,10471-B010-152,Ambury Park Toilets Farm Display Centre,Te Ara i Tautahi/Ambury Regional Park,Public Toilet,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,450000.0,3,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-803,10691-B004-152,East Tamaki Change Rooms,East Tamaki Reserve,Changing Shed,Building Level 3,Otara-Papatoetoe,Otara-Papatoetoe,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-804,21277-B001-100,Changing Room - (French Bay Esplanade),French Bay Esplanade,Changing Shed,Building Level 3,Waitakere Ranges,Waitakere Ranges,650000.0,2,0.0,0.0,1,Very Low,True,False,False,False,False,0,No elevated flag
park-805,10878-B002-100,Toilet-Yates Road,Yates Road 10,Public Toilet,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,450000.0,3,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
park-807,22987-B002-152,Changing Rms-Norana Park-near playgrnd,Norana Park,Changing Shed,Building Level 3,Mangere-Otahuhu,Mangere-Otahuhu,650000.0,2,0.0,0.0,1,Damage Unlikely,True,False,False,False,False,0,No elevated flag
