scenario,planning_area,portfolio_assets,assets_with_modelled_loss,illustrative_portfolio_value_nzd,expected_annual_loss_nzd,local_board_group,households_2022,households_2052,population_2022,population_2052,employment_2022,employment_2052,households_growth_rate,households_cagr,population_growth_rate,population_cagr,employment_growth_rate,employment_cagr,growth_data_mapped,auckland_population_growth_rate,above_auckland_population_growth,future_population_eal_per_1000_nzd
baseline,Whau,74,0,72200000.0,0.0,Whau,29740.0,36284.0,87680.0,105504.0,30809.0,40942.0,0.2200403496973773,0.006651487930936506,0.20328467153284668,0.006187565840831466,0.3288974001103573,0.00952338072175607,True,0.35249722687603824,False,0.0
slr_1m,Rodney,185,39,157250000.0,1407904.0,Rodney,30554.0,40997.0,83210.0,101312.0,24598.0,38543.0,0.34178830922301495,0.009848287773313702,0.21754596803268833,0.006582816496273791,0.5669160094316612,0.01508292846559356,True,0.35249722687603824,False,13896.71509791535
slr_1m,Franklin,200,34,135050000.0,979594.75,Franklin,31581.0,67889.0,88710.0,175511.0,31010.0,47643.0,1.149678604224059,0.025838791885912427,0.9784804418893023,0.023004927031769595,0.536375362786198,0.014417138116938677,True,0.35249722687603824,True,5581.386636735019
slr_1m,Orakei,78,20,61700000.0,567878.75,Orakei,30689.0,40961.0,84380.0,111950.0,26323.0,36299.0,0.33471276353090684,0.009670328700274844,0.3267361934107609,0.009468610867064964,0.3789841583406146,0.010769144621694426,True,0.35249722687603824,False,5072.61054041983
slr_1m,Waitakere Ranges,102,18,90950000.0,562413.5,Waitakere Ranges,18529.0,19987.0,52910.0,55337.0,9078.0,11801.0,0.07868746289600081,0.00252802307213984,0.045870345870345774,0.0014960982278675594,0.29995593743115223,0.008782689125468313,True,0.35249722687603824,False,10163.42591755968
slr_1m,Hibiscus and Bays,133,22,211600000.0,539699.25,Hibiscus and Bays,40478.0,48705.0,111660.0,123275.0,30666.0,39608.0,0.20324620781659175,0.006186493711298535,0.10402113559018455,0.0033040828956887314,0.291593295506424,0.008565696390487432,True,0.35249722687603824,False,4378.010545528291
slr_1m,Waitemata,103,14,232200000.0,345051.75,Waitemata,38232.0,68178.0,82920.0,146185.0,213115.0,303779.0,0.7832705586942874,0.019468726974499972,0.7629643029425952,0.01907962193126922,0.42542289374281483,0.01188569806248374,True,0.35249722687603824,True,2360.3772616889555
slr_1m,Devonport-Takapuna,81,12,119000000.0,318987.75,Devonport-Takapuna,21170.0,29895.0,57850.0,77549.0,37890.0,52120.0,0.4121398205007085,0.011569958717277284,0.3405185825410544,0.009816419404503618,0.375560833993138,0.010685403046123643,True,0.35249722687603824,False,4113.370256225096
slr_1m,Waiheke-Great Barrier,65,11,56750000.0,296443.5,Waiheke-Great Barrier,5019.0,5335.0,10500.0,11698.0,4268.0,5160.0,0.06296074915321781,0.0020373450422213057,0.11409523809523803,0.0036079139040638974,0.20899718837863168,0.006346428644885105,True,0.35249722687603824,False,25341.383142417504
slr_1m,Howick,124,11,118500000.0,257463.75,Howick,48294.0,58467.0,153150.0,172989.0,75110.0,94489.0,0.21064728537706556,0.006392182122177292,0.1295396669931439,0.004068593524572783,0.25800825455997867,0.00768033428091397,True,0.35249722687603824,False,1488.3244021296152
